store_name,address,city,state,postal_code,store_number,phone_number,lat,long,amenities
Ingles Kings Mountain 147,"2111 Shelby Rd, Kings Mountain",Kings Mountain,NC,28086,19898-201167,+1 704-739-2970,35.24337,-81.40527,"In Store,Oven-warmed Food"
Steele Creek and Dixie River,"4820 Berewick Towne Center Drive, Charlotte",Charlotte,NC,28278,55028-280525,+1 980-280-6975,35.16182,-80.97099,"After Hours Wi-Fi,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Charlotte 3,"4821 Berewick Town Center Dr., Charlotte",Charlotte,NC,28217,48190-261666,+1 704-587-1011,35.16005,-80.97131,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
"Hwy 16 & I-485, Mountain Islan","9731 Callabridge Ct, Charlotte",Charlotte,NC,28216,63404-297254,+1 704-810-4149,35.3269,-80.94477,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Charlotte 366,"4701 Smith Farm Rd., Charlotte",Charlotte,NC,28216,26170-105488,+1 704-392-9690,35.32823,-80.94018,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Ingles Lincolnton 148,"2130 E Main St, Lincolnton",Lincolnton,NC,28092,22986-226825,+1 704-735-0269,35.47828,-81.22008,"In Store,Oven-warmed Food"
E. Main & Hwy 321,"1434 E Main St, Lincolnton",Lincolnton,NC,28092,56080-289663,+1 704-735-3773,35.47628,-81.23625,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Charlotte 88,"13000 S Tryon St, Charlotte",Charlotte,NC,28278,16408-169145,+1 704-587-9970,35.1033,-80.9909,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Redeem Rewards"
Hwy 49 & Steelecroft Pkwy,"13129 S. Tryon St., Charlotte",Charlotte,NC,28278,10389-241727,+1 704-588-3062,35.10063,-80.99199,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Target Charlotte SW 2132,"12830 Walker Branch Dr, Charlotte",Charlotte,NC,28273,76601-97457,+1 704-583-2601,35.10033,-80.98506,"In Store,Oven-warmed Food,Redeem Rewards"
"Hwy 73 & Hwy 16, Denver","7365 Olin Way, Denver",Denver,NC,28037,67480-299542,+1 505-785-0949,35.44796,-80.99901,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Fort Mill 475,"867 Stockbridge Dr., Fort Mill",Fort Mill,SC,29708,18318-189384,+1 803-548-6612,35.0634,-80.9944,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Carowinds Amusement Park Main,"14523 CAROWINDS BLVD, Charlotte",Charlotte,NC,28273,47070-249615,+1 704-588-2600,35.1041,-80.94032,"Blonde Espresso,Nitro Cold Brew,Oven-warmed Food"
I-77 and Carowinds,"3686 Foothills Way, Fort Mill",Fort Mill,SC,29708,60029-292513,+1 803-902-1575,35.093,-80.93514,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
"74E & Grove, Shelby","1114 E. Dixon Boulevard, Shelby",Shelby,NC,28152,62269-296043,+1 980-270-5689,35.27266,-81.52386,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Ingles Shelby 112,"706 E. Dixon Blvd., Shelby",Shelby,NC,28152,66899-300933,+1 704-471-9494,35.27334,-81.52887,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food"
Target Charlotte North 2080,"9841 Northlake Ctr Pkwy, Charlotte",Charlotte,NC,28216,76903-128668,+1 704-516-3648,35.34997,-80.85933,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Fort Mill 82,"1750 Hwy 160 W, Fort Mill",Fort Mill,SC,29708,16622-93621,+1 803-396-0440,35.03346,-80.97047,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Harris Teeter Fayetteville 25,"2800 Raeford Rd, Fayetteville",Fayetteville,NC,28303,72864-87824,+1 910-484-6000,35.04721,-78.92299,"In Store,Mobile Order and Pay,Redeem Rewards"
Walter Reed Rd & Owen Dr,"1445 Walter Reed Road, Fayetteville",Fayetteville,NC,28304,10159-99871,+1 910-485-1084,35.03902,-78.93507,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Bragg & Sycamore,"3466 Bragg Boulevard, Fayetteville",Fayetteville,NC,28303,71891-306625,,35.07832,-78.93866,"Drive-Thru,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
"I-95 & Cedar Creek Rd, Exit 49","1855 Cedar Creek Road, Fayetteville",Fayetteville,NC,28312,61617-294048,+1 910-974-8027,35.01055,-78.82936,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Ramsey St & Francam Dr,"4401 N Ramsey Street, Fayetteville",Fayetteville,NC,28311,19704-193364,+1 910-488-4783,35.12082,-78.88058,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Skibo Rd & Lake Valley Dr,"565 Cross Creek Mall, Fayetteville",Fayetteville,NC,28303,9800-96995,+1 910-864-9991,35.07473,-78.96241,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Skibo & Richwood,"2120 Skibo Road, Fayetteville",Fayetteville,NC,28314,49895-270125,+1 910-633-1949,35.05137,-78.97486,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Fayetteville 755,"2056 Skibo Rd, Fayetteville",Fayetteville,NC,28314,76391-95392,+1 910-860-4400,35.05514,-78.9749,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Main Street and Butler,"3063 North Main Street, Hope Mills",Hope Mills,NC,28348,66398-299280,+1 910-312-0001,34.98177,-78.96204,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Raeford & Strickland,"920 Strickland Bridge Road, Fayetteville",Fayetteville,NC,28304,60582-293657,+1 910-601-1011,35.03969,-79.00019,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
BASE ACCESS South Post Food Co,"1017 Canopy LN, Fort Bragg",Fort Bragg,NC,28310,19630-167545,+1 910-436-2237,35.10304,-79.01448,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food"
Fort Liberty Exchange Mini Mal,"1013 Reilly Road, Fort Bragg",Fort Bragg,NC,28307,78064-108504,+1 910-436-2200,35.13149,-78.99621,"Blonde Espresso,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Rockfish Rd & Belshaw Way,"2941 Town Center Drive, Hope Mills",Hope Mills,NC,28348,68847-303424,+1 910-338-1796,34.98113,-79.01071,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
East Carolina Univ. Joyner Lib,"1000 E 5th Str, Greenville",Greenville,NC,27858,19798-189585,+1 252-328-4855,35.60677,-77.3683,"Blonde Espresso,In Store"
Fort Liberty North Post,"3571 Butner Road, Fort Bragg",Fort Bragg,NC,28310,70010-108337,+1 910-306-3709,35.15761,-78.97399,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Wireless Hot-Spot"
Harris Teeter Fayetteville 393,"3050 Traemoor Village Dr, Fayetteville",Fayetteville,NC,28306,18401-170045,+1 910-424-3505,34.98261,-79.01397,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Hwy 24 & Brinkley Hill,"2822 NC 24-87, Cameron",Cameron,NC,28326,59763-293753,+1 919-728-9187,35.24406,-79.02311,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
"East Cumberland & Simpson, Ext","818 East Cumberland Street, Dunn",Dunn,NC,28334,61317-294458,+1 910-898-3222,35.30208,-78.60234,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
ECU Student Union,"501 E 10th St, Greenville",Greenville,NC,27858,52894-247304,+1 252-328-4758,35.6056,-77.36926,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food"
East Carolina Univ. Mobile Tru,"28884 College Hill Drive, Greenville",Greenville,NC,27858,24135-252847,+1 252-328-3663,35.60535,-77.3625,"Blonde Espresso,In Store,Oven-warmed Food"
E. 10th St & Evans St,"100 East 10th Street, Greenville",Greenville,NC,27858,13481-105757,+1 252-695-6435,35.60556,-77.37402,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Greenville Blvd & Red Banks Rd,"518-B Greenville Blvd. SE, Greenville",Greenville,NC,27858,8582-79241,+1 252-353-2537,35.58252,-77.37366,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Greenville 1022,"3040 S Evans St, Greenville",Greenville,NC,27834,50428-273846,+1 252-355-8020,35.57881,-77.38346,"Blonde Espresso,In Store,Oven-warmed Food,Redeem Rewards"
Harris Teeter Greenville 362,"3040 EVANS ST, Greenville",Greenville,NC,27834,16065-159187,+1 252-353-4400,35.57753,-77.38167,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Stanton Sq & Arlington Dr,"2205 W. Arlington Blvd., Greenville",Greenville,NC,27834,8962-95337,+1 252-757-3180,35.60592,-77.41193,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Greenville 287,"2120 E Firetower Rd, Greenville",Greenville,NC,27858,72594-100650,+1 252-355-0125,35.56734,-77.34977,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
E. Fire Tower Rd & E. Arlingto,"1880 Fire Tower Rd E, Greenville",Greenville,NC,27858,68123-301766,+1 252-417-7855,35.56517,-77.35769,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
S. Memorial Dr & Whitley Dr,"4100 Humber Dr, Unit 100, Winterville",Winterville,NC,28590,27296-246406,+1 252-558-7563,35.55183,-77.40534,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
US64 & NC258,"106 River Oaks Drive, Tarboro",Tarboro,NC,27886,69991-303150,+1 252-774-9842,35.88511,-77.54709,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Apex 496,"940 US Hwy 64, Apex",Apex,NC,27523,59269-292600,+1 919-380-1422,35.74567,-78.82214,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
US 64 & Knollwood Dr,"1101 Pine Plaza Drive, Apex",Apex,NC,27523,29148-252724,+1 919-338-3360,35.7465,-78.83024,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Apex 58,"750 W Williams St, Apex",Apex,NC,27502,72999-98079,+1 919-362-3782,35.73765,-78.86279,"In Store,Mobile Order and Pay,Redeem Rewards,Wireless Hot-Spot"
US 64 & W Williams St,"1268 W Williams St, Apex",Apex,NC,27502,55618-288664,+1 919-545-4787,35.74673,-78.87319,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Kildaire Farm & Ten Ten Rd,"3460 Kildaire Farm, Cary",Cary,NC,27518,49535-263928,+1 984-222-5621,35.70491,-78.79541,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Apex 1932,"1201 Beaver Creek Commons Dr, Apex",Apex,NC,27502,76255-94937,+1 919-372-1405,35.7373,-78.8677,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Cary 331,"3430 Ten Ten Rd, Cary",Cary,NC,27518,29953-255606,+1 919-387-8272,35.70291,-78.79279,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Harris Teeter Apex 335,"2810 Teachey Place, Apex",Apex,NC,27523,85845-313198,,35.7438,-78.91692,"Blonde Espresso,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food"
Harris Teeter Chapel Hill 137,"88 Chatham Downs, Chapel Hill",Chapel Hill,NC,27517,79375-98080,+1 919-960-0275,35.83088,-79.08666,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Wesleyan Blvd & Sunset Ave,"550 N Wesleyan Blvd, Rocky Mount",Rocky Mount,NC,27804,52924-280930,+1 252-451-0123,35.96101,-77.82184,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food"
Target Rocky Mount 962,"731 Sutters Creek Blvd, Rocky Mount",Rocky Mount,NC,27804,76569-101398,+1 252-443-1195,35.97197,-77.81309,"Blonde Espresso,In Store,Oven-warmed Food,Redeem Rewards"
Raleigh Rd & Heritage Dr,"3401 Raleigh Rd, Wilson",Wilson,NC,27896,13625-97032,+1 252-293-1018,35.74111,-77.96167,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Wilson 2168,"3401 Raleigh Rd Pkwy W, Wilson",Wilson,NC,27896,76707-97493,+1 252-265-4500,35.74037,-77.96527,"Blonde Espresso,In Store,Oven-warmed Food,Redeem Rewards"
I-95 & US 264 Alt,"5019 Raleigh Road, Parkway W, Wilson",Wilson,NC,27896,66098-298374,+1 252-598-3142,35.76332,-78.00768,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
"Mebane Oaks Rd & I-40, Exit 15","3890 Brundage Lane, Mebane",Mebane,NC,27302,25954-242179,+1 336-270-1195,36.07002,-79.27158,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Starbucks Wi-Fi"
Rosedale,"9832 Gilead Road, Huntersville",Huntersville,NC,28078,10691-100498,+1 704-948-4278,35.40649,-80.86381,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Sam Furr Rd & Hwy 115,"9932 Knockando Lane, Huntersville",Huntersville,NC,28078,14112-99037,+1 704-892-1063,35.44199,-80.85696,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Huntersville 966,"9801 Sam Furr Rd, Huntersville",Huntersville,NC,28078,76149-89021,+1 704-896-1813,35.4432,-80.86172,"Blonde Espresso,Café Seating,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Birkdale,"16846B Birkdale Commons Pkwy, Huntersville",Huntersville,NC,28078,8453-35539,+1 704-892-2557,35.44524,-80.88039,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Huntersville 272,"7715 Regency Park Dr, Huntersville",Huntersville,NC,28078,79330-98073,+1 704-892-1197,35.44362,-80.8958,"In Store,Mobile Order and Pay,Redeem Rewards"
I-485 and Prosperity Church,"5920 Highland Shoppes Dr, Charlotte",Charlotte,NC,28269,47827-259906,+1 980-233-1872,35.37159,-80.78505,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Charlotte 122,"5810 Highland Shoppes Dr, Charlotte",Charlotte,NC,28269,48920-264924,+1 704-875-0993,35.37114,-80.78352,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Harris Teeter Cornelius 416,"21720 Catawba Ave, Cornelius",Cornelius,NC,28031,26803-245327,+1 704-894-5352,35.48122,-80.85784,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Lake Norman,"20300 W. Catawba Avenue, Cornelius",Cornelius,NC,28031,8285-286079,+1 704-895-6066,35.48251,-80.87852,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Concord 190,"9900-Suite 124 Poplar Tent Rd, Concord",Concord,NC,28027,73802-100510,+1 704-721-0735,35.41734,-80.74402,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Harris Teeter Cornelius 179,"19815 N Cove Rd, Cornelius",Cornelius,NC,28031,72924-87821,+1 704-895-5020,35.47901,-80.89432,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Harris Teeter Davidson 268,"431 Peninsula Drive, Davidson",Davidson,NC,28036,73878-100513,+1 704-892-0597,35.50078,-80.86014,"In Store,Mobile Order and Pay,Redeem Rewards"
Mallard Creek & Carolina Lilly,"8115 Panara Dr., Charlotte",Charlotte,NC,28262,78367-299521,+1 704-312-8923,35.37006,-80.73361,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
The Arbors,"2121 East Arbors Drive, Charlotte",Charlotte,NC,28262,9437-94799,+1 704-688-0107,35.3376,-80.75749,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Speedway Blvd.,"7741 Gateway Lane NW, Concord",Concord,NC,28027,10391-99041,+1 704-979-1982,35.36667,-80.70891,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Kannapolis 2169,"6150 Bayfield Pkwy, Concord",Concord,NC,28027,76716-97703,+1 704-262-6080,35.4303,-80.6981,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Kannapolis Parkway,"6065 Bayfield Pkwy, Concord",Concord,NC,28027,11969-100497,+1 704-795-1116,35.41935,-80.67523,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
85 & George Liles,"380 George W. Liles Pkwy NW, Concord",Concord,NC,28027,71679-302190,+1 980-866-0987,35.41525,-80.66747,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Mount Mourne,"235 Medical Park Road, Mooresville",Mooresville,NC,28117,13421-107187,+1 704-662-8425,35.554,-80.85422,"Café Seating,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Concord 68,"358 George W Liles Pkwy, Concord",Concord,NC,28027,26636-93622,+1 704-786-2510,35.41219,-80.66324,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Harrisburg 92,"12190 University City Blvd, Harrisburg",Harrisburg,NC,28075,27160-237499,+1 704-454-9905,35.31765,-80.67451,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Highway 49 and Patricia,"4700 Highway 49 South, Harrisburg",Harrisburg,NC,28075,63879-295665,+1 980-710-6002,35.32197,-80.6547,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Mooresville 99,"134 Town Center Drive, Mooresville",Mooresville,NC,28117,73916-103336,+1 704-799-1066,35.586,-80.87582,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
River Highway & Rolling Hill R,"489 River Hwy, Mooresville",Mooresville,NC,28117,8765-202507,+1 704-799-0609,35.5942,-80.86453,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Mooresville 1505,"594 River Hwy, Mooresville",Mooresville,NC,28117,76101-78200,+1 704-799-1233,35.59789,-80.87158,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Harris Teeter Harrisburg 46,"9641 BROOKDALE DR, Harrisburg",Harrisburg,NC,28215,48780-264368,+1 704-599-8449,35.28312,-80.6696,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Hwy 74 and Indian Trail Fairvi,"13731 E. Independence Blvd, Indian Trail",Indian Trail,NC,28079,58388-292406,+1 704-242-2363,35.08424,-80.6605,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Sun Valley,"6701 Old Monroe Rd, Indian Trail",Indian Trail,NC,28079,13475-107336,+1 704-225-8134,35.04851,-80.64653,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Indian Trail 129,"6610 Old Monroe Rd., Indian Trail",Indian Trail,NC,28079,55626-98068,+1 704-289-1156,35.04843,-80.64766,"In Store,Mobile Order and Pay,Redeem Rewards"
Harris Teeter Matthews 273,"1351 CHESTNUT LANE, Matthews",Matthews,NC,28104,54162-284286,+1 704-234-0405,35.06994,-80.70107,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Sycamore Commons,"2233 Matthews Township Parkway, Matthews",Matthews,NC,28105,8697-93960,+1 704-841-1398,35.12803,-80.70285,"In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Charlotte SE 918,"1900 Matthews Township Pkwy, Matthews",Matthews,NC,28105,76150-89022,+1 704-845-0948,35.12249,-80.70608,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Matthews 157,"1811 Matthews Township Pkwy, Matthews",Matthews,NC,28105,14981-156052,+1 704-587-1011,35.1251,-80.70968,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Mint Hill 474,"7036 Brighton Park Dr, Mint Hill",Mint Hill,NC,28227,24359-235925,+1 704-545-3281,35.17143,-80.66255,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Hwy 74 & Windmere - Monroe,"2937 Monroe Way, Monroe",Monroe,NC,28110,15707-161325,+1 704-225-8006,35.02233,-80.57905,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Target Monroe 2074,"2901 W Hwy 74, Monroe",Monroe,NC,28110,76456-98560,+1 704-225-8378,35.02019,-80.58133,"In Store,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Target Wesley Chapel 2395,"6350 Weddington Monroe Rd, Wesley Chapel",Wesley Chapel,NC,28104,76939-128669,+1 704-234-5271,34.99955,-80.69679,"Blonde Espresso,In Store,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Matthews 249,"5920 Weddington Monroe Rd., Wesley Chapel",Wesley Chapel,NC,28104,82171-306643,+1 704-843-4100,35.00001,-80.70007,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards"
Harris Teeter Charlotte 45,"10616 Providence Road, Charlotte",Charlotte,NC,28277,79297-87751,+1 704-849-2776,35.06645,-80.77174,"Blonde Espresso,In Store,Mobile Order and Pay,Redeem Rewards,Wireless Hot-Spot"
Providence Road and Golf Links,"11510 Waverly Center Dr, Charlotte",Charlotte,NC,28277,29481-252464,+1 980-288-3253,35.05366,-80.76912,"Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Starbucks Wi-Fi"
Ballantyne Commons & Providenc,"5361 Ballantyne Commons Pkwy #100,, Charlotte",Charlotte,NC,28277,78415-303390,+1 704-627-8184,35.06335,-80.77359,"Café Seating,Drive-Thru,In Store,Mobile Order and Pay,Nitro Cold Brew,Outdoor Seating,Oven-warmed Food,Redeem Rewards,Starbucks Wi-Fi"
Harris Teeter Charlotte 440,"11135 Golf Links Dr., Charlotte",Charlotte,NC,28277,56528-289812,+1 704-303-8601,35.05513,-80.77074,"Blonde Espresso,In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards"
Harris Teeter Charlotte 30,"3333 Pineville Matthews Rd, Charlotte",Charlotte,NC,28226,73786-93624,+1 704-544-3340,35.09652,-80.7846,"Blonde Espresso,In Store,Mobile Order and Pay,Nitro Cold Brew,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Weddington 343,"13639 Providence Rd, Weddington",Weddington,NC,28104,79359-101268,+1 704-847-5955,35.02247,-80.76123,"In Store,Mobile Order and Pay,Oven-warmed Food,Redeem Rewards,Wireless Hot-Spot"
Harris Teeter Charlotte 4,"7823 COLONY RD, Charlotte",Charlotte,NC,28226,54173-279258,+1 704-341-3688,35.10605,-80.808,"In Store,Mobile Order and Pay,Redeem Rewards"
